Scenario,Actual_RO,RO_Prop,Order,BP.Rord,Res.Rord,Stream.Rord,Total.Rord
C,5,0.01,4,-0.058482681,0,-0.05845619,-0.116938871
C,5,0.01,5,0.073022928,0.07302293,0.072786517,0.218832374
C,5,0.01,cum,0.431794424,0.07302293,0.495182647,1
C,50,0.1,1,0.097017753,0,0.196313833,0.293331586
C,50,0.1,2,0.13407215,0,0.149980425,0.284052574
C,50,0.1,3,0.109679497,0,0.09166806,0.201347557
C,50,0.1,4,0.068529379,0,0.048676211,0.11720559
C,50,0.1,5,0.042097789,0.037686408,0.024278494,0.104062692
C,50,0.1,cum,0.451396568,0.037686408,0.510917023,1
C,500,1,1,0.021167019,0,0.048478251,0.06964527
C,500,1,2,0.052576796,0,0.060686285,0.113263081
C,500,1,3,0.088357582,0,0.068772109,0.157129691
C,500,1,4,0.124219457,0,0.073649588,0.197869044
C,500,1,5,0.212489557,0.166431392,0.083171965,0.462092914
C,500,1,cum,0.49881041,0.166431392,0.334758198,1
C,5000,10,1,0.015839767,0,0.036886898,0.052726665
C,5000,10,2,0.042306348,0,0.049049822,0.09135617
C,5000,10,3,0.078449258,0,0.060402911,0.138852169
C,5000,10,4,0.126177858,0,0.072622354,0.198800212
C,5000,10,5,0.260682618,0.162344115,0.09523805,0.518264783
C,5000,10,cum,0.523455849,0.162344115,0.314200035,1
C,10000,20,1,0.015656483,0,0.036501017,0.0521575
C,10000,20,2,0.042019982,0,0.048732523,0.090752505
C,10000,20,3,0.078434327,0,0.060346895,0.138781222
C,10000,20,4,0.127304103,0,0.073121474,0.200425577
C,10000,20,5,0.266395888,0.154625188,0.09686212,0.517883196
C,10000,20,cum,0.529810783,0.154625188,0.315564029,1
D,5,0.01,1,0.403666614,0,0.408670571,0.812337185
