Sample,Date,Time,Site,Location,CH4_InjVol.mL,CH4_Range,CH4_IntArea,CH4.mM,CH4.uatm,N2O_IntArea,N2O.mM,N2O.uatm,Flag
CCBP_UP_2,6/9/16,10:45,CCBP,UP_2,10,10,47742,36.17928886,880.2384981,15367,0.050605575,1.231228595,NA
CCBP_UP_1,6/9/16,11:00,CCBP,UP_1,10,10,7181,5.441822155,132.3989916,16792,0.051815231,1.260659425,NA
CC,6/9/16,11:20,CCBP,DOWN,10,10,2051,1.554265038,37.81511373,21850,0.056108876,1.36512338,NA
PD,6/9/16,11:45,PD,OUT,10,10,1314,0.995760244,24.22674765,34406,0.066767438,1.624445131,NA
WB,6/9/16,12:00,PD,UP_2,10,10,3335,2.52729103,61.48873929,45016,0.075774076,1.843575729,NA
PD_UP,6/9/16,12:15,PD,UP_1,10,10,1742,1.320102241,32.11795618,29796,0.062854092,1.529233816,NA
SMD_OUT,6/9/16,13:10,SMD,OUT,10,10,2556,1.936958283,47.12600229,29472,0.062579055,1.522542175,NA
SMD_SIDE,6/9/16,13:30,SMD,SIDE,10,10,10310,7.813004653,190.0896258,2202,0.039430044,0.959329036,NA
SMD_DOWN,6/9/16,13:45,SMD,DOWN,10,1,3061,0.231965153,5.643689085,22543,0.056697152,1.379436057,NA
SMD_UP,6/9/16,14:05,SMD,UP,10,1,5417,0.410504813,9.987541252,30099,0.063111304,1.53549174,NA
ID_UP,6/9/16,15:05,ID,UP_1,10,10,970,0.735074153,17.88428099,20432,0.054905162,1.335837123,NA
ID,6/9/16,15:45,ID,OUT,10,1,17610,1.334500601,32.46826683,21871,0.056126703,1.365557097,NA
MR,6/9/16,16:00,ID,UP_2,10,1,9249,0.700896994,17.05275411,16729,0.051761752,1.259358272,NA
PD,7/14/16,9:50,PD,OUT,10,10,1130,0.452242157,11.00300668,39242,0.072240263,1.757598399,NA
WB,7/14/16,10:05,PD,UP_2,10,10,2047,0.819238668,19.93199528,101883,0.081103567,1.973241704,NA
PD_UP,7/14/16,10:25,PD,UP_1,10,10,1971,0.788822381,19.19197005,76200,0.077469585,1.884827295,NA
SMD_UP,7/14/16,11:05,SMD,UP,10,10,1006,0.402615584,9.795597094,28761,0.070757268,1.721517279,NA
SMD_SIDE,7/14/16,11:30,SMD,SIDE,10,10,5977,2.392080859,58.19908929,22067,0.069810109,1.698473006,NA
SMD_OUT,7/14/16,11:40,SMD,OUT,10,10,1069,0.427829085,10.40903906,25177,0.070250154,1.709179264,NA
SMD_DOWN,7/14/16,11:55,SMD,DOWN,10,10,412,0.164888291,4.011715708,35494,0.071709944,1.74469581,NA
ID_UP,7/14/16,12:55,ID,UP_1,10,10,1468,0.587514589,14.2941715,32035,0.071220518,1.732788111,NA
ID,7/14/16,13:25,ID,OUT,10,10,1642,0.657151877,15.98843979,26216,0.070397166,1.712756049,NA
MR,7/14/16,13:40,ID,UP_2,10,10,5479,2.192774139,53.34997662,20349,0.069567023,1.692558746,NA
PD,7/26/16,11:00,PD,OUT,10,10,1654,0.126202094,3.044594977,21426,0.054943634,1.325501882,NA
WB,7/26/16,11:20,PD,UP_2,10,10,2134,0.162826644,3.928153375,58351,0.083964247,2.025617131,NA
PD_UP,7/26/16,11:35,PD,UP_1,10,1,13751,1.049217046,25.31210734,59200,0.084631505,2.041714567,NA
SMD_UP,7/26/16,12:30,SMD,UP,10,1,13077,0.997790075,24.07144409,22182,0.0555378,1.339835995,NA
SMD_SIDE,7/26/16,13:10,SMD,SIDE,10,10,7944,0.606136297,14.62289148,17180,0.051606559,1.244995739,NA
SMD_OUT,7/26/16,14:00,SMD,OUT,10,1,7573,0.577828572,13.93997446,20464,0.054187566,1.307261913,NA
SMD_DOWN,7/26/16,14:15,SMD,DOWN,10,1,5186,0.395697739,9.546112184,23639,0.056682906,1.367461396,NA
ID_UP,7/26/16,15:15,ID,UP_1,10,1,18913,1.443083558,34.8140416,23875,0.056868387,1.371936066,NA
ID,7/26/16,15:45,ID,OUT,10,1,13901,1.060662218,25.58821933,28976,0.060877436,1.468653409,NA
MR,7/26/16,16:00,ID,UP_2,10,10,4733,0.36113332,8.712253947,17086,0.051532681,1.243213455,NA
PD,8/10/16,9:30,PD,OUT,10,10,1201,0.944787012,22.79275803,61848,0.104613976,2.536663327,NA
WB,8/10/16,9:45,PD,UP_2,10,10,2306,1.814053996,43.76361366,80450,0.136196699,3.302476231,NA
PD_UP,8/10/16,10:00,PD,UP_1,10,1,4983,0.391996143,9.456812093,94411,0.159899869,3.877227007,NA
SMD_UP,8/10/16,10:45,SMD,UP,10,10,976,0.767786947,18.5226743,34116,0.057530219,1.394983753,NA
SMD_SIDE,8/10/16,11:15,SMD,SIDE,10,10,1362,1.071440392,25.84824016,25297,0.042557204,1.031920426,NA
SMD_OUT,8/10/16,11:25,SMD,OUT,10,10,471,0.370520135,8.938708601,29298,0.049350155,1.196634835,NA
SMD_DOWN,8/10/16,11:35,SMD,DOWN,10,10,958,0.753626942,18.1810676,28381,0.04779326,1.158883495,NA
ID_UP,8/10/16,12:25,ID,UP_1,10,10,1962,1.543440564,37.2351301,30664,0.051669368,1.252870746,NA
ID,8/10/16,12:50,ID,OUT,10,10,691,0.543586865,13.11390158,26305,0.0442686,1.073418083,NA
MR,8/10/16,13:05,ID,UP_2,10,100,1126,8.457261761,204.0293933,32150.5,0.054193167,1.314067439,NA
PD,8/23/16,9:40,PD,OUT,10,10,420,0.338796804,8.14559026,21696,0.069536031,1.671834006,NA
WB,8/23/16,9:55,PD,UP_2,10,10,3536,2.852346427,68.57811228,67502,0.105530701,2.537243084,NA
PD_UP,8/23/16,10:10,PD,UP_1,10,10,1272,1.026070321,24.66950193,59348,0.099123231,2.383190217,NA
SMD_UP,8/23/16,11:00,SMD,UP,10,10,633,0.510615183,12.27656818,21363,0.069274357,1.665542664,NA
SMD_SIDE,8/23/16,11:45,SMD,SIDE,10,10,551,0.444469141,10.68623865,21820,0.069633471,1.674176728,NA
SMD_OUT,8/23/16,12:20,SMD,OUT,10,10,597,0.481575457,11.57837473,21228,0.069168274,1.66299212,NA
SMD_DOWN,8/23/16,12:45,SMD,DOWN,10,10,518,0.417849392,10.04622799,27037,0.073733026,1.77274109,NA
