"Date","Discharge.m3s","Year"
2018-08-31,0.116382129821293,2018
2018-09-01,0.10109104707105,2018
2018-09-02,0.0880653099134355,2018
2018-09-03,0.0829682823300212,2018
2018-09-04,0.0747564045567427,2018
2018-09-05,0.0671108631816213,2018
2018-09-06,0.0730573953622712,2018
2018-09-07,0.0897643191079069,2018
2018-09-08,0.0948613466913212,2018
2018-09-09,0.101374215270128,2018
2018-09-10,0.0911801601032998,2018
2018-09-11,0.583326490101856,2018
2018-09-12,0.351128566857428,2018
2018-09-13,0.252869201777164,2018
2018-09-14,0.201898925943021,2018
2018-09-15,0.167352405655435,2018
2018-09-16,0.151778154706114,2018
2018-09-17,0.1347880627614,2018
2018-09-18,0.974098604830283,2018
2018-09-19,0.773049183484498,2018
2018-09-20,0.419088934636285,2018
2018-09-21,0.317148382967999,2018
2018-09-22,0.249471183388221,2018
2018-09-23,0.196801898359607,2018
2018-09-24,0.169617751248064,2018
2018-09-25,0.267593948129249,2018
2018-09-26,0.993920378765783,2018
2018-09-27,0.863663007189641,2018
2018-09-28,0.583326490101856,2018
2018-09-29,0.444574072553356,2018
2018-09-30,0.34263352088507,2018
2018-10-01,0.297326609032499,2018
2018-10-02,0.478554256442784,2018
2018-10-03,0.959940194876355,2018
2018-10-04,0.662613585843855,2018
2018-10-05,0.518197804313784,2018
2018-10-06,0.404930524682356,2018
2018-10-07,0.334138474912713,2018
2018-10-08,0.300158291023285,2018
2018-10-09,0.269292957323721,2018
2018-10-10,0.238710791823235,2018
2018-10-11,0.430415662599427,2018
2018-10-12,0.736237317604284,2018
2018-10-13,0.472890892461213,2018
2018-10-14,0.399267160700785,2018
2018-10-15,0.336970156903499,2018
2018-10-16,0.390772114728428,2018
2018-10-17,0.336970156903499,2018
2018-10-18,0.282885030879492,2018
2018-10-19,0.249754351587299,2018
2018-10-20,0.232197923244428,2018
2018-10-21,0.209827635517221,2018
2018-10-22,0.188590020586328,2018
2018-10-23,0.247772174193749,2018
2018-10-24,0.555009670193998,2018
2018-10-25,0.413425570654713,2018
2018-10-26,0.34263352088507,2018
2018-10-27,0.651286857880712,2018
2018-10-28,1.16665298020371,2018
2018-10-29,1.05621738256307,2018
2018-10-30,0.993920378765783,2018
2018-10-31,0.716415543668784,2018
2018-11-01,0.631465083945213,2018
2018-11-02,1.30540539775221,2018
2018-11-03,5.52177988203213,2018
2018-11-04,3.68118658802142,2018
2018-11-05,1.76696956225028,2018
2018-11-06,2.03597935137492,2018
2018-11-07,2.31348418647192,2018
2018-11-08,1.53193995701507,2018
2018-11-09,1.2091282100655,2018
2018-11-10,2.88831563060142,2018
2018-11-11,1.94819720966057,2018
2018-11-12,1.37619744752185,2018
2018-11-13,3.42633520885071,2018
2018-11-14,3.90772114728427,2018
2018-11-15,2.00483084947628,2018
2018-11-16,1.62255378072021,2018
