Sample,Date,Time,Site,Location,CH4_InjVol.mL,CH4_Range,CH4_IntArea,CH4.mM,CH4.uatm,N2O_IntArea,N2O.mM,N2O.uatm
SMD_UP,9/7/2016,11:00,SMD,UP,10,10,1584,1.287771842,30.96151336,NA,NA,NA
SMD_UP,9/7/2016,11:45,SMD,UP,10,1,7234,0.588114994,14.13987296,NA,NA,NA
WB,9/7/2016,10:05,PD,UP_2,10,10,3240,2.634078768,63.33036823,NA,NA,NA
ID,9/21/2016,15:55,ID,OUT,10,10,687,0.550457573,13.23448685,NA,NA,NA
ID_UP,9/21/2016,15:30,ID,UP_1,10,10,868,0.695483513,16.72130216,NA,NA,NA
MR,9/21/2016,16:10,ID,UP_2,10,10,1695,1.358115847,32.65277324,NA,NA,NA
PD,9/21/2016,10:30,PD,OUT,10,1,6603,0.529064244,12.72013343,NA,NA,NA
PD_UP,9/21/2016,11:00,PD,UP_1,10,1,5976,0.478825977,11.51226978,NA,NA,NA
SMD_DOWN,9/21/2016,14:25,SMD,DOWN,10,10,6502,5.209716364,125.2556528,NA,NA,NA
SMD_OUT,9/21/2016,14:10,SMD,OUT,10,10,1412,1.131362582,27.20101228,NA,NA,NA
SMD_SIDE,9/21/2016,13:20,SMD,SIDE,10,10,2367,1.896554696,45.59829749,NA,NA,NA
SMD_UP,9/21/2016,12:45,SMD,UP,10,10,2551,2.043984381,49.14290532,NA,NA,NA
WB,9/21/2016,10:45,PD,UP_2,10,10,5652,4.52865532,108.8811058,NA,NA,NA
ID,10/5/2016,8:45,ID,OUT,10,10,757,0.603824189,14.39369443,NA,NA,NA
ID_UP,10/5/2016,9:05,ID,UP_1,10,10,726,0.579096911,13.80425648,NA,NA,NA
MR,10/5/2016,8:30,ID,UP_2,10,10,290,0.231319703,5.514096942,NA,NA,NA
PD,10/5/2016,12:10,PD,OUT,10,10,549,0.437912127,10.43875594,NA,NA,NA
PD_UP,10/5/2016,11:25,PD,UP_1,10,100,169,1.348035508,32.13387529,NA,NA,NA
SMD_DOWN,10/5/2016,9:50,SMD,DOWN,10,10,742,0.591859377,14.10848252,NA,NA,NA
SMD_OUT,10/5/2016,10:00,SMD,OUT,10,10,522,0.416375465,9.925374496,NA,NA,NA
SMD_SIDE,10/5/2016,10:20,SMD,SIDE,10,100,176,1.403871298,33.4648642,NA,NA,NA
SMD_UP,10/5/2016,10:45,SMD,UP,10,10,1081,0.862264133,20.55427171,NA,NA,NA
WB,10/5/2016,11:40,PD,UP_2,10,100,604,4.817831047,114.8453294,NA,NA,NA
ID,10/19/2016,15:10,ID,OUT,10,10,938,0.767968375,18.30649106,NA,NA,NA
ID_UP,10/19/2016,14:40,ID,UP_1,10,10,1346,1.102010056,26.26922918,NA,NA,NA
