"Date","Site","Year","Discharge.m3s.OUT","HL.myr","RFlag","Temp.C.OUT","RTSS","RAFDM","RAsh","RPC","RPN"
2015-07-22,"MCLN",2015,0.775517418180471,46.4472703338334,0,26.9,0.739563296528653,NA,NA,NA,NA
2015-07-22,"OMPD",2015,0.147191196477024,50.7164334564263,1,24.1,0.0830937736537883,NA,NA,NA,NA
2015-07-24,"ID",2015,0.959166904961985,233.379272547497,0,24.3,0.381998975424332,NA,NA,0.344708801660478,0.183400208560232
2015-07-24,"PD",2015,0.166293738456737,32.3397076730635,1,23.8,0.353456998313659,NA,NA,0.346520540611148,0.229839946845366
2015-07-24,"SMD",2015,0.140356511977241,72.7899317817145,0,24.1,-0.152576705391719,-0.110338521327983,-0.33989386950046,-0.282103247607596,-0.454568641079706
2015-08-07,"ID",2015,0.430438858410502,104.732041037216,0,24,-0.151662833430179,NA,NA,-0.090091562866867,-0.0920323538238122
2015-08-07,"PD",2015,0.042639420117112,8.29223273668295,1,23.5,-0.374095046950039,NA,NA,-0.178949772067671,-0.382805926253573
2015-08-07,"SMD",2015,0.117429751056656,60.8999429249405,0,22.5,-0.316091047679125,0.15659361929683,-1.4043836167685,-0.307263582490296,-0.241107147517091
2015-08-26,"ID",2015,0.627017234692463,152.562421983346,0,24,-0.301423299635649,NA,NA,0.0777836426262753,-0.00660623290710306
2015-08-26,"PD",2015,0.03279955393624,6.37864056667919,0,23.5,-0.211661531168523,NA,NA,-0.295799097232427,-0.258915296513939
2015-08-26,"SMD",2015,0.217245039454814,112.66489441114,0,25.2,0.337841691562434,0.13927155584224,0.482127105918126,0.22680856211212,0.0412536564761566
2015-09-08,"BRDS",2015,0.00503685459185045,2.57626583639217,1,21.7,0.203042805637227,NA,NA,NA,NA
2015-09-08,"LH",2015,0.000674198121898605,5.89451399284569,1,21,-32.2634212839365,NA,NA,NA,NA
2015-09-08,"LMPD",2015,0.222749019306105,36.1051247575931,1,22.6,-4.54785653650255,NA,NA,NA,NA
2015-09-08,"MCLN",2015,0.257316030383729,15.4111654287573,0,26.3,-1.43406352919728,NA,NA,NA,NA
2015-09-08,"OMPD",2015,0.0306267396396291,10.5527982657781,1,21.4,-0.634883027926666,NA,NA,NA,NA
2015-09-16,"ID",2015,0.121675236353835,29.6053564821737,0,25.1,0.434890874978085,NA,NA,0.185865512301136,-0.0381427442980774
2015-09-16,"PD",2015,0.00885587956278479,1.72223295300338,1,20.1,0.373325661121766,NA,NA,0.166382261620903,-0.930830014424777
2015-09-16,"SMD",2015,0.0559189290745981,28.9999728214002,0,21.6,0.086502673268802,-0.0319864689783367,0.224292397979877,0.0091831432314782,-0.140864529222085
2015-10-02,"ID",2015,2.03695869216308,495.621706010763,0,15.6,-0.132637497542077,NA,NA,NA,NA
2015-10-02,"SMD",2015,1.17429751056656,608.999429249405,0,16.1,0.263900591592017,0.215940594776634,0.363720946367556,0.295675623676641,0.273552187213952
2015-10-06,"BRDS",2015,0.0205984799726421,10.5357737189769,1,14.3,0.434689760726526,NA,NA,NA,NA
2015-10-06,"LH",2015,0.00275716843880922,24.1059228961152,1,10.9,-154.742668597033,NA,NA,NA,NA
