Sample,Site,Location,Date,Time,CArea.km2,Cond.uScm,Sp_Cond.uScm,Temp.C,DO.mgL,DO.pct,pH,TSS.mgL,Chl.mgL,UNH_ID,PO4.ugL,NH4.ugL,Cl.mgL,NO3.mgL,SO4.mgL,Br.mgL,DOC.mgL,TDN.mgL,DIN.mgL,DON.mgL,TDP.mgL,Q_est.m3s,CH4.mM,CH4.uatm,N2O.mM,N2O.uatm,CO2.ppm,Gas_Flag,AFDM.pct,AFDM.mgL,Ash.pct,Ash.mgL,PC.mgL,PN.mgL,TN.mgL,NAr_sat,NAr_calc.A,NAr_calc.B,NAr_calc.C,NArcalc.mean,N2.mM.A,N2.mM.B,N2.mM.C,N2.mM.mean,Notes
CCBP_SIDE,CCBP,SIDE,8/30/2017,8:55,3.962682,NA,490,16,2.35,23.9,NA,NA,NA,168810,NA,2.5,132.6038,0.0079,0.6549,0.0556,9.193935918,0.436631493,0.0104,0.426231493,NA,NA,5.529540499,133.6256952,0.017769624,0.429416935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_3,CCBP,UP_3,8/30/2017,9:15,0.078275,NA,786,16.3,1.69,17.2,6.116,18.57142857,NA,159497,NA,2.5,88.9961,0.0193,0.6724,0.1063,7.964063169,0.322916606,0.0218,0.301116606,NA,NA,68.73359923,1661.001484,0.017976578,0.434418137,8984.785453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_1,CCBP,UP_1,8/30/2017,9:25,0.91245,NA,332.5,16.7,1.97,20.3,6.218,5.396825397,NA,159498,NA,404.4947944,216.2545,0.0285,0.3051,0.0505,13.73344473,0.948479653,0.432994794,0.515484858,NA,NA,4.657916964,112.5622269,0.016036031,0.387523309,9950.886499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,CCBP,DOWN,8/30/2017,9:35,4.63,NA,377.5,15.5,6.81,68.2,7.091,5.981308411,NA,168844,NA,31.72833224,79.0056,0.1005,0.9724,0.0427,5.732514792,0.361233301,0.132228332,0.229004969,NA,NA,0.914101909,22.08999156,0.023815935,0.575530804,1448.86758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD,PD,OUT,8/30/2017,10:00,63.9,NA,541,19,3.48,37.4,6.92,3.59375,NA,164001,NA,25.34731296,100.8431,0.1749,0.5717,NA,4.912276999,0.45423226,0.200247313,0.253984947,NA,NA,0.463994534,11.21279286,0.053582554,1.29486457,2652.213128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WB,PD,UP_2,8/30/2017,10:10,6,NA,679,14.8,5.95,58.7,6.852,5.161290323,NA,164002,NA,27.95303988,159.3362,1.5818,5.769,NA,2.403382978,1.998535055,1.60975304,0.388782015,NA,NA,1.417307249,34.25034438,0.089910035,2.172746698,3844.160116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD_UP,PD,UP_1,8/30/2017,10:25,55.7,NA,406.1,17.4,6.44,67.3,6.835,3.20754717,NA,164003,NA,17.74727609,84.5233,0.4264,1.3343,NA,6.679720333,0.751862631,0.444147276,0.307715355,NA,NA,1.563530878,37.78395339,0.081003933,1.957523762,4160.048302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP,SMD,UP,8/30/2017,11:10,111.9,NA,718,17.2,3.19,33.1,6.914,11.92982456,NA,158734,NA,35.40683836,181.97,0.0835,3.127,NA,8.572297484,0.525327601,0.118906838,0.406420762,NA,NA,2.3371274,56.47852176,0.04447517,1.074777451,3913.038405,NA,75.92867068,9.058157204,24.07132932,2.871667357,3.304982456,0.240842105,0.766169706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_SIDE,SMD,SIDE,8/30/2017,13:10,NA,NA,707,24.5,1.98,23.7,6.673,NA,NA,168811,NA,16.66325085,177.6944,0.0052,2.9179,0.0415,9.63316928,0.467379342,0.021863251,0.445516091,NA,NA,3.950488677,95.46666594,0.024752897,0.598173229,5194.53414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_BD,SMD,OUT,8/30/2017,14:00,NA,NA,425,20.4,7,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT,SMD,OUT,8/30/2017,14:00,113.8,NA,425.8,22,4.59,51.9,7.028,10.47619048,NA,158735,NA,21.46297454,174.0177,0.0731,3.09,NA,9.410725153,0.597125858,0.094562975,0.502562884,NA,NA,0.876524886,21.18191327,0.030626275,0.740108012,2582.527562,NA,53.6994763,5.625659422,46.3005237,4.850531054,3.132190476,0.264253968,0.861379826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_DOWN,SMD,DOWN,8/30/2017,14:10,114.9955,NA,678,20,7.84,86.2,7.252,6.382978723,NA,168845,NA,11.46483065,173.1343,0.2193,3.2608,0.0447,8.44986149,0.605693926,0.230764831,0.374929095,NA,NA,0.281827666,6.81058721,0.025184523,0.608603817,1193.533357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID_UP,ID,UP_1,8/30/2017,15:05,337.8,NA,476,19.7,8.14,88.9,7.354,5.811965812,NA,164004,NA,13.18725397,107.8995,0.256,1.9744,NA,7.816976183,0.669257914,0.269187254,0.40007066,NA,NA,1.285787671,31.07207035,0.03262919,0.78851005,1247.041662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,ID,OUT,8/30/2017,15:25,387.5,NA,519,20.8,6.26,69.9,7.189,3.883495146,NA,164005,NA,17.31298827,115.3562,0.0979,1.6813,NA,8.677898013,0.583105755,0.115212988,0.467892766,NA,NA,0.665766806,16.08877848,0.035815712,0.865514851,2083.890715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MR,ID,UP_2,8/30/2017,15:35,43.3,NA,449.7,19.7,3.68,40.3,6.645,22.22222222,NA,164006,NA,18.61585173,94.8596,0.0602,0.7542,NA,6.116108372,0.390378306,0.078815852,0.311562455,NA,NA,1.71955721,41.5544524,0.017858217,0.43155786,5827.082634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_OUT,CCBP,OUT,10/11/2017,8:20,1.72665,NA,393.3,16.9,2.64,27.2,6.704,23.15789474,NA,159499,NA,31.02166116,109.4324,0.0234,0.8936,0.0339,9.397130139,0.41308088,0.054421661,0.358659218,NA,NA,3.325017557,80.48808489,0.019234211,0.465598996,4560.665583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_SIDE,CCBP,SIDE,10/11/2017,8:35,3.962682,NA,439.5,15.6,1.24,12.4,6.61,NA,NA,168812,NA,94.85899485,99.5344,0.0062,0.988,0.0738,15.50054032,0.817783052,0.101058995,0.716724057,NA,NA,16.37923984,396.4892285,0.016642108,0.402852441,8340.393823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_3,CCBP,UP_3,10/11/2017,8:50,0.078275,NA,736,16,0.95,9.5,6.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.7917295,4787.907805,0.018932325,0.458291298,14808.08306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_2,CCBP,UP_2,10/11/2017,9:00,0.554225,NA,889,16.2,1.02,10.5,6.791,13.33333333,NA,159500,NA,26.27229183,264.3498,0.0434,0.4351,0.0421,13.01511542,0.525979825,0.069672292,0.456307533,NA,NA,69.84113882,1690.631527,0.014930964,0.361431078,5192.597372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_1,CCBP,UP_1,10/11/2017,9:10,0.91245,NA,304.3,16.8,1.51,15.7,6.568,22,NA,159501,NA,2.5,78.3905,0.0199,0.6914,0.0211,8.493232426,0.344268391,0.0224,0.321868391,NA,NA,28.8103158,697.4059846,0.015502489,0.375265879,7041.084489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,CCBP,DOWN,10/11/2017,9:25,4.63,NA,247.2,15.5,5.33,53.4,7.028,8.913043478,NA,168846,NA,12.32710732,79.7321,0.0339,0.9055,0.0498,8.454231971,0.385841728,0.046227107,0.339614621,NA,NA,1.088378831,26.346185,0.024288057,0.58793651,2216.758512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD,PD,OUT,10/11/2017,9:50,63.9,NA,334.8,17.7,2.78,29.2,6.997,3.47826087,NA,164007,NA,21.86464995,67.6769,0.091,0.8319,0.1004,10.08783762,0.599539595,0.11286465,0.486674945,NA,NA,0.880413508,21.3120069,0.033457158,0.809891239,3620.453637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WB,PD,UP_2,10/11/2017,10:00,6,NA,664,15.2,4.64,46.1,7.215,13.93939394,NA,164008,NA,41.16502376,147.5177,0.9822,3.9249,0.0998,3.593962523,1.152570159,1.023365024,0.129205135,NA,NA,2.159764386,52.28101693,0.077631312,1.87920681,2460.949957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD_UP,PD,UP_1,10/11/2017,10:15,55.7,NA,297.3,17.4,6.96,72.5,NA,13.1147541,NA,164009,NA,24.74456853,57.0745,0.1247,0.6283,0.0984,10.21813472,0.648936499,0.149444569,0.499491931,NA,NA,0.811631202,19.64700636,0.038276356,0.926548679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP,SMD,UP,10/11/2017,11:00,111.9,NA,739,16.4,2.75,28,7.519,17.14285714,NA,158736,NA,2.5,184.3682,0.002,3.5752,NA,7.064284131,0.310531147,0.0045,0.306031147,NA,NA,7.550393386,182.7709759,0.017939532,0.434258935,1097.335695,NA,49.19656615,8.433697054,50.80343385,8.709160089,5.264163265,0.511346939,0.821878085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_SIDE,SMD,SIDE,10/11/2017,11:45,NA,NA,725,18.8,1.88,20.1,6.967,NA,NA,168813,NA,9.750919886,181.4782,0.0061,3.8462,0.0383,7.722176367,0.340633257,0.01585092,0.324782337,NA,NA,2.001160482,48.44172157,0.016863034,0.408200347,3406.934714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_BD,SMD,OUT,10/11/2017,12:00,NA,NA,711,19.2,7.81,84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT,SMD,OUT,10/11/2017,12:00,113.8,NA,710,19.2,3.53,38.1,7.683,2.075471698,NA,158737,NA,17.47901345,177.5936,0.002,4.1145,NA,7.605503647,0.450487889,0.019479013,0.431008876,NA,NA,0.611757915,14.80871068,0.021984118,0.532165485,762.0742457,NA,100,2.075471698,0,0,1.080301887,0.155396226,0.605884115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_DOWN,SMD,DOWN,10/11/2017,13:05,114.9955,NA,696,18.7,7.4,79.3,8.005,2.878787879,NA,168847,NA,6.937878172,174.9129,0.0805,4.2573,0.0385,7.045844398,0.405325514,0.087437878,0.317887636,NA,NA,0.326918251,7.913649621,0.024025965,0.581592099,273.1274261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID_UP,ID,UP_1,10/11/2017,14:00,337.8,NA,482,17.9,6.35,66.8,NA,1.777777778,NA,164010,NA,14.58981333,111.8482,0.0709,2.4501,0.0747,7.669611727,0.472664718,0.085489813,0.387174905,NA,NA,1.268831231,30.71436289,0.029542246,0.715123678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,ID,OUT,10/11/2017,14:20,387.5,NA,477,18.1,5.62,59.4,7.549,10.90909091,NA,164011,NA,16.3182823,110.4708,0.0547,2.2563,0.0955,7.785554065,0.464933029,0.071018282,0.393914747,NA,NA,0.697533496,16.88506429,0.028503484,0.689978553,938.5261417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MR,ID,UP_2,10/11/2017,14:30,43.3,NA,478,18.1,4.4,47,7.285,2.886597938,NA,164012,NA,10.2686409,112.2835,0.002,0.9048,0.0849,8.001979761,0.375427985,0.012268641,0.363159344,NA,NA,1.365126459,33.04536364,0.019669888,0.476145334,717.1019054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT_Storm,SMD,OUT,11/7/2017,18:00,113.8,NA,NA,NA,NA,NA,NA,2.105263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP_Storm,SMD,UP,11/7/2017,18:00,111.9,NA,NA,NA,NA,NA,NA,52.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT_Storm,SMD,OUT,11/8/2017,0:00,113.8,NA,NA,NA,NA,NA,NA,3.865546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP_Storm,SMD,UP,11/8/2017,0:00,111.9,NA,NA,NA,NA,NA,NA,41.481481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT_Storm,SMD,OUT,11/8/2017,6:00,113.8,NA,NA,NA,NA,NA,NA,2.020202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP_Storm,SMD,UP,11/8/2017,6:00,111.9,NA,NA,NA,NA,NA,NA,34.782609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_OUT,CCBP,OUT,11/8/2017,7:50,1.72665,NA,515.2,7.8,5.14,48.1,6.568,11.28205128,NA,159502,NA,24.97700929,145.0928,0.0326,0.8901,0.0606,10.34053596,0.392171619,0.057577009,0.334594609,NA,NA,1.710155532,41.11675813,0.022328045,0.536826511,3821.056419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_SIDE,CCBP,SIDE,11/8/2017,8:05,3.962682,NA,478,6.8,2.11,17.2,6.279,NA,NA,168814,NA,26.38371626,123.7699,0.0099,0.9733,0.0427,13.33715211,0.538718412,0.036283716,0.502434696,NA,NA,8.007390829,192.5193035,0.017210616,0.413789705,6996.045148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_3,CCBP,UP_3,11/8/2017,8:25,0.078275,NA,734.9,8,2.26,19.1,6.079,25.71428571,NA,159503,NA,162.4928393,208.1943,0.0293,0.2503,0.0509,11.48387678,0.611608227,0.191792839,0.419815388,NA,NA,48.0289016,1154.744521,0.0187084,0.449800478,9610.283288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_2,CCBP,UP_2,11/8/2017,8:40,0.554225,NA,908,8,5.15,43.6,6.508,12.94117647,NA,159504,NA,7.706575383,250.9728,0.0219,0.8505,0.0411,15.90040481,0.550761172,0.029606575,0.521154596,NA,NA,4.022999636,96.72377736,0.020293555,0.487911879,4332.200804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_1,CCBP,UP_1,11/8/2017,8:50,0.91245,NA,333,8,3.84,32.5,6.324,13.18181818,NA,159505,NA,2.5,98.3097,0.0335,0.9144,0.0667,8.809297322,0.319265783,0.036,0.283265783,NA,NA,0.798293639,19.19313528,0.021529227,0.517620766,6258.255206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,CCBP,DOWN,11/8/2017,9:05,4.63,NA,386,7.8,7.71,64.7,6.457,13.84615385,NA,168848,NA,12.11153815,102.5749,0.0221,1.2508,0.0936,11.22839493,0.415828492,0.034211538,0.381616954,NA,NA,0.668975043,16.08396695,0.028986163,0.696905649,3706.418479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD,PD,OUT,11/8/2017,9:30,63.9,NA,315,10.5,5.73,51.3,7.059,7.804878049,NA,164013,NA,16.3182823,67.98,0.1075,1.1121,0.076,9.191216876,0.514329934,0.123818282,0.390511652,NA,NA,1.383543182,33.26411503,0.028135078,0.676443277,2274.836433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WB,PD,UP_2,11/8/2017,9:45,6,NA,603,7.2,8.87,73.6,7.984,16.32653061,NA,164014,NA,40.08473066,151.9666,1.42,5.0671,0.0768,4.627505643,1.585866921,1.460084731,0.125782191,NA,NA,1.418359727,34.10119882,0.052269683,1.256704361,364.4145098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD_UP,PD,UP_1,11/8/2017,10:00,55.7,NA,266,9.6,10.7,93.9,7.177,1.052631579,NA,164015,NA,10.05258228,54.0289,0.0418,0.814,0.0781,9.341389808,0.459939646,0.051852582,0.408087064,NA,NA,0.38215303,9.187991031,0.028887091,0.694523686,1538.391504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP,SMD,UP,11/8/2017,10:55,111.9,NA,536,9.6,6.78,59.5,6.723,14.64285714,NA,158738,NA,26.55359149,141.3036,0.0637,6.3563,NA,13.00844719,0.628038997,0.090253591,0.537785405,NA,NA,1.202828734,28.9192516,0.034633277,0.832677514,2956.623584,NA,43.6097561,6.385714286,56.3902439,8.257142857,4.932,0.315571429,0.943610425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_SIDE,SMD,SIDE,11/8/2017,11:45,NA,NA,529,12.4,3.48,32.6,6.177,NA,NA,168815,NA,10.39895091,129.5442,0.1268,5.0228,0.0475,6.865562048,0.452614286,0.137198951,0.315415335,NA,NA,39.22617687,943.1032418,0.081621569,1.962402969,11732.24943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT_Storm,SMD,OUT,11/8/2017,12:00,113.8,NA,NA,NA,NA,NA,NA,3.471074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP_Storm,SMD,UP,11/8/2017,12:00,111.9,NA,NA,NA,NA,NA,NA,18.222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT,SMD,OUT,11/8/2017,12:25,113.8,NA,532,10.2,6.13,54.5,6.738,15.2173913,NA,158739,NA,25.44693563,140.6281,0.0544,6.2167,NA,13.14722143,0.592139868,0.079846936,0.512292932,NA,NA,1.319712849,31.72946144,0.032637791,0.784700662,2402.144857,NA,50.66666667,7.710144928,49.33333333,7.507246377,4.707304348,0.332,0.924139868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_BD,SMD,OUT,11/8/2017,12:40,NA,NA,532,10.2,9.33,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_DOWN,SMD,DOWN,11/8/2017,13:00,114.9955,NA,532,10,9.73,86.2,6.92,38.03921569,NA,168849,NA,26.55467226,139.4839,0.0677,6.8385,0.1225,13.46826655,0.643748195,0.094254672,0.549493522,NA,NA,0.504839903,12.13771483,0.029077434,0.699100055,1562.773566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID_UP,ID,UP_1,11/8/2017,13:45,337.8,NA,484,10.2,9.43,83.9,7.457,4,NA,164016,NA,6.595644334,123.1562,0.002,5.8628,0.0745,10.67527879,0.480718562,0.008595644,0.472122917,NA,NA,0.499037145,11.99820087,0.026300293,0.632330081,693.7972419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,ID,OUT,11/8/2017,14:05,387.5,NA,475,10.4,8.73,78,7.407,1.538461538,NA,164017,NA,7.243820198,120.4965,0.002,5.1412,0.0778,10.33959812,0.488503943,0.00924382,0.479260123,NA,NA,0.851347422,20.46869152,0.025765147,0.619463732,802.3602015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MR,ID,UP_2,11/8/2017,14:20,43.3,NA,395,9.4,6.85,59.8,6.789,16.8627451,NA,164018,NA,8.108054684,101.1951,0.0046,1.7369,0.088,9.642839885,0.45720134,0.012708055,0.444493285,NA,NA,0.736121237,17.69834281,0.023770442,0.571505635,1882.244399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT_Storm,SMD,OUT,11/8/2017,18:00,113.8,NA,NA,NA,NA,NA,NA,2.857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP_Storm,SMD,UP,11/8/2017,18:00,111.9,NA,NA,NA,NA,NA,NA,16.808511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT_Storm,SMD,OUT,11/9/2017,0:00,113.8,NA,NA,NA,NA,NA,NA,3.809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP_Storm,SMD,UP,11/9/2017,0:00,111.9,NA,NA,NA,NA,NA,NA,23.617021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT_Storm,SMD,OUT,11/9/2017,6:00,113.8,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP_Storm,SMD,UP,11/9/2017,6:00,111.9,NA,NA,NA,NA,NA,NA,12.643678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT_Storm,SMD,OUT,11/9/2017,12:00,113.8,NA,NA,NA,NA,NA,NA,3.278689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP_Storm,SMD,UP,11/9/2017,12:00,111.9,NA,NA,NA,NA,NA,NA,12.747253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT_Storm,SMD,OUT,11/9/2017,18:00,113.8,NA,NA,NA,NA,NA,NA,3.140496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP_Storm,SMD,UP,11/9/2017,18:00,111.9,NA,NA,NA,NA,NA,NA,13.684211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT_Storm,SMD,OUT,11/10/2017,0:00,113.8,NA,NA,NA,NA,NA,NA,2.708333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP_Storm,SMD,UP,11/10/2017,0:00,111.9,NA,NA,NA,NA,NA,NA,8.043478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT_Storm,SMD,OUT,11/10/2017,6:00,113.8,NA,NA,NA,NA,NA,NA,2.970297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
