Sample,Site,Location,Date,Time,CArea.km2,Cond.uScm,Sp_Cond.uScm,Temp.C,DO.mgL,DO.pct,pH,TSS.mgL,Chl.mgL,UNH_ID,PO4.ugL,NH4.ugL,Cl.mgL,NO3.mgL,SO4.mgL,Br.mgL,DOC.mgL,TDN.mgL,DIN.mgL,DON.mgL,TDP.mgL,Q_est.m3s,CH4.mM,CH4.uatm,N2O.mM,N2O.uatm,CO2.ppm,Gas_Flag,AFDM.pct,AFDM.mgL,Ash.pct,Ash.mgL,PC.mgL,PN.mgL,TN.mgL,NAr_sat,NAr_calc.A,NAr_calc.B,NAr_calc.C,NArcalc.mean,N2.mM.A,N2.mM.B,N2.mM.C,N2.mM.mean,Notes
LH_EDGE,LH,NA,6/24/2015,10:10,0.647475,275.7,327.6,16.7,8.7,89.4,NA,3.375,NA,136998,18.214,33.99739838,68.0035,0.2104,1.9335,0.0238,5.498109726,0.440901476,0.244397398,0.196504078,NA,0.008775249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRDS,BRDS,UP_1,6/24/2015,10:40,4.9014,268.3,237.8,19.1,8.99,97.3,NA,6,NA,136994,10.591,27.99300003,52.8607,0.2215,1.5794,0.0097,7.604008253,0.617933513,0.249493,0.368440513,NA,0.062000239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTEB,BRDS,UP_2,6/24/2015,11:20,2.51,464,505,20.8,9.14,102.5,NA,3.714285714,NA,136970,19.18,37.98310089,103.2618,0.2262,2.3756,0.0132,6.307453417,0.558777844,0.264183101,0.294594744,NA,0.031750235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRDS_OUT,BRDS,OUT,6/24/2015,11:35,8.32,291,316.3,20.8,6.97,78.1,NA,5.142857143,0.006167143,136980,6.957,23.32119942,68.0869,0.0861,1.7065,0.0128,7.754183924,0.430810215,0.109421199,0.321389016,NA,0.105243805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMPD,OMPD,OUT,6/24/2015,11:45,50.59,244.7,268.9,20.3,7.68,84.4,NA,6.333333333,0.009456286,136968,9.222,28.70899963,42.0664,0.1786,1.2444,0.0082,7.678522899,0.507016635,0.207309,0.299707635,NA,0.639937995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMPD_IN,OMPD,UP_1,6/24/2015,12:00,43.173633,185.3,205.5,19.8,9.2,101.2,NA,6.666666667,NA,136972,9.857,39.02890015,41.9925,0.2498,1.3399,0.0075,9.009469111,0.633592366,0.2888289,0.344763466,NA,0.546124692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLGB,OMPD,UP_2,6/24/2015,12:25,2.006,1112,1255,19.1,8.13,88.5,NA,4.375,NA,136995,24.138,99.21600342,286.762,0.6895,4.9842,0.0297,7.969703207,1.186436883,0.788716003,0.397720879,NA,0.025374889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAM,OMPD,UP_3,6/24/2015,13:15,1.7364,347.6,393.3,20.7,5.31,60.6,NA,8.833333333,NA,136967,10.387,35.80020142,56.9273,0.2718,1.0499,0.0135,7.861943566,0.694487907,0.307600201,0.386887705,NA,0.021964585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCLN_OUT,MCLN,OUT,6/24/2015,13:35,549.0588,177.1,190.7,21.1,7.95,89.7,NA,3.5,0.00395725,136974,5.326,17.45960045,29.5611,0.111,1.069,0.006,6.083909479,0.363129171,0.1284596,0.234669571,NA,4.08848193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piscassic,MCLN,UP_2,6/24/2015,13:45,56.9778,210.3,227.1,21.1,7.12,80.1,NA,20.75,NA,136976,17.785,58.61000061,41.1763,0.1016,1.5248,0.0129,8.668994498,0.598359946,0.160210001,0.438149945,NA,0.424276427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
