"Date","Discharge.cfs","Site","Discharge.m3s","Discharge.ls","Date2"
2015-09-16,2,"SMD",0.0566336398157141,56.6336398157141,"20150916"
2015-09-17,2,"SMD",0.0566336398157141,56.6336398157141,"20150917"
2015-09-18,2.1,"SMD",0.0594653218064998,59.4653218064998,"20150918"
2015-09-19,4.14,"SMD",0.117231634418528,117.231634418528,"20150919"
2015-09-20,5.86,"SMD",0.165936564660042,165.936564660042,"20150920"
2015-09-21,3.23,"SMD",0.0914633283023783,91.4633283023783,"20150921"
2015-09-22,1.82,"SMD",0.0515366122322999,51.5366122322999,"20150922"
2015-09-23,1.7,"SMD",0.048138593843357,48.138593843357,"20150923"
2015-09-24,1.7,"SMD",0.048138593843357,48.138593843357,"20150924"
2015-09-25,1.5,"SMD",0.0424752298617856,42.4752298617856,"20150925"
2015-09-26,1.5,"SMD",0.0424752298617856,42.4752298617856,"20150926"
2015-09-27,1.55,"SMD",0.0438910708571785,43.8910708571785,"20150927"
2015-09-28,1.6,"SMD",0.0453069118525713,45.3069118525713,"20150928"
2015-09-29,2.2,"SMD",0.0622970037972856,62.2970037972856,"20150929"
2015-09-30,9.6,"SMD",0.271841471115428,271.841471115428,"20150930"
2015-10-01,24.6,"SMD",0.696593769733284,696.593769733284,"20151001"
2015-10-02,42,"SMD",1.18930643613,1189.30643613,"20151002"
2015-10-03,30.7,"SMD",0.869326371171212,869.326371171212,"20151003"
2015-10-04,27,"SMD",0.764554137512141,764.554137512141,"20151004"
2015-10-05,23.7,"SMD",0.671108631816212,671.108631816213,"20151005"
2015-10-06,19.7,"SMD",0.557841352184784,557.841352184784,"20151006"
2015-10-07,15.7,"SMD",0.444574072553356,444.574072553356,"20151007"
2015-10-08,11.5,"SMD",0.325643428940356,325.643428940356,"20151008"
2015-10-09,9.66,"SMD",0.273540480309899,273.540480309899,"20151009"
2015-10-10,8.58,"SMD",0.242958314809414,242.958314809414,"20151010"
2015-10-11,7.24,"SMD",0.205013776132885,205.013776132885,"20151011"
2015-10-12,5.46,"SMD",0.1546098366969,154.6098366969,"20151012"
2015-10-13,4.74,"SMD",0.134221726363243,134.221726363243,"20151013"
2015-10-14,4.1,"SMD",0.116098961622214,116.098961622214,"20151014"
2015-10-15,3.66,"SMD",0.103639560862757,103.639560862757,"20151015"
2015-10-16,3.03,"SMD",0.0857999643208069,85.7999643208069,"20151016"
2015-10-17,2.59,"SMD",0.0733405635613498,73.3405635613498,"20151017"
2015-10-18,1.99,"SMD",0.0563504716166356,56.3504716166356,"20151018"
