Sample,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper
SMD_OUT,8/14/18,0.846706982,-1.541896864,3.209460054,-10.64522078,-15.72377646,-5.892709549,0.756832361,0.51903745,1.034022531
SMD_OUT,8/15/18,1.05941685,-1.423615985,3.366472383,-12.46073924,-17.73093991,-7.43554211,0.74701053,0.522542765,1.024908184
SMD_OUT,8/16/18,-0.101653556,-2.717227543,2.592252431,-14.56891089,-19.63535383,-8.692204546,0.679233324,0.465594889,0.940266626
SMD_OUT,8/18/18,-0.448341415,-2.407735295,1.379139796,-10.88028229,-15.84291844,-5.878103607,0.649540905,0.473424408,0.863131554
SMD_OUT,8/19/18,0.963978162,-1.592706897,3.277295818,-12.94737508,-18.15535375,-8.114965644,0.639270453,0.459896906,0.818336047
SMD_OUT,8/23/18,-0.017218535,-2.403437029,2.408414895,-12.03640785,-17.52353055,-6.90463566,0.639802106,0.463983914,0.824886788
SMD_OUT,8/24/18,-0.287636348,-2.515982448,2.146980654,-10.58933514,-15.44265353,-5.509849617,0.624260344,0.442547021,0.810122855
SMD_OUT,8/25/18,-2.668075288,-5.128929014,-0.369959625,-10.65120955,-15.36003946,-5.354375357,0.616685931,0.427778771,0.786177119
SMD_OUT,8/26/18,0.969827139,-1.308737871,3.116636606,-12.28988889,-17.4027103,-7.345762916,0.603215837,0.412341982,0.782458811
SMD_OUT,8/30/18,0.124521719,-1.991889607,2.178936837,-9.282209036,-14.83980815,-4.776977051,0.462174108,0.296722619,0.617065802
SMD_OUT,9/6/18,3.868375448,1.901028507,5.882166005,-10.31073548,-14.79461117,-5.823336384,0.482697871,0.300240971,0.664984145
SMD_OUT,9/7/18,-1.306490153,-3.675388179,1.098326656,-8.072332206,-13.19700013,-3.266989376,0.500552175,0.3040878,0.717559281
SMD_OUT,9/8/18,-1.132690999,-3.287536201,1.057075127,-8.336644718,-13.54922367,-3.081012792,0.520183921,0.305682103,0.767070257
SMD_OUT,9/9/18,-0.595629762,-3.007785569,1.714607345,-7.315670668,-13.31650971,-2.150957541,0.548513017,0.325817141,0.855949441
SMD_OUT,9/10/18,-1.829313314,-4.446904721,0.378384826,-1.789568918,-6.133363061,2.984083602,0.487253559,0.312543248,0.678304431
SMD_OUT,9/11/18,2.575457832,0.410960564,4.867818356,-6.50329224,-10.91099682,-2.16897891,0.586247422,0.381388046,0.798091822
SMD_OUT,9/12/18,-0.0140511,-2.900482262,2.427616697,-6.131199639,-10.52564811,-1.414989724,0.596471336,0.379412077,0.799217616
SMD_OUT,9/13/18,0.917444379,-1.673617678,3.385813016,-6.834933414,-11.15194613,-2.585784345,0.634339351,0.468679444,0.822768844
SMD_OUT,9/14/18,0.875540008,-1.149076348,3.187538792,-7.992872211,-12.23456844,-3.700583588,0.625789527,0.455456476,0.802366919
SMD_OUT,9/15/18,0.922673605,-1.553437145,3.348447562,-8.091474291,-12.27884314,-3.591767608,0.616069338,0.443535338,0.791672231
SMD_OUT,9/16/18,1.393021243,-0.814524451,3.504108846,-8.372868441,-12.77646615,-3.848910234,0.600368163,0.3816151,0.799205275
SMD_OUT,9/17/18,2.044039363,-0.191026424,4.294737136,-10.0807415,-15.29045238,-5.524980779,0.545058352,0.375641844,0.717243385
SMD_OUT,9/18/18,1.936720657,-2.037668078,4.223722275,-7.323939832,-11.60369718,-3.105268952,0.83810591,0.597641644,1.120622084
SMD_OUT,9/19/18,0.422392778,-1.853535218,2.778922262,-12.39036348,-17.73830302,-6.718022085,1.168108146,0.756235672,1.560189404
SMD_OUT,9/20/18,0.883498435,-1.392376682,3.13875252,-11.26229614,-16.21796409,-5.850783678,0.997825482,0.663422501,1.294858728
SMD_OUT,9/21/18,1.436620351,-0.764341366,3.592499727,-10.55924333,-15.42445107,-5.672696581,0.850255545,0.582986106,1.117764679
SMD_OUT,9/22/18,0.434694446,-1.711931534,2.527688428,-10.0354957,-14.88642456,-5.475338975,0.72274375,0.498633415,1.009900133
SMD_OUT,9/23/18,0.892284282,-1.512503721,3.521069212,-9.383641674,-13.87498006,-4.607478557,0.665837256,0.479970583,0.894064904
SMD_OUT,9/24/18,0.445263505,-1.830288637,2.519419541,-9.873529803,-14.17947196,-5.504358594,0.645609601,0.464800477,0.83765856
SMD_OUT,9/25/18,-0.091145555,-2.345165595,1.992750741,-3.575846208,-8.02056907,0.604079282,0.637656535,0.481946332,0.820392518
SMD_OUT,9/26/18,-0.059678386,-2.391345641,2.146740403,-8.481004148,-13.12229217,-4.316512501,0.685498495,0.462106642,0.940935713
SMD_OUT,9/27/18,0.343976112,-1.508425299,2.535006289,-10.51255775,-15.55576544,-5.887560603,0.772409951,0.528967078,1.042556745
SMD_OUT,9/28/18,-0.010201423,-2.186336739,2.143085998,-9.82966904,-14.21227781,-4.846176643,0.761486381,0.520611105,1.037653894
SMD_OUT,9/29/18,-0.202893632,-2.26994838,2.01414449,-8.425003245,-13.49498983,-3.76863035,0.714465361,0.492612723,0.97273911
SMD_OUT,9/30/18,0.015800417,-2.332601582,2.760288301,-6.594524983,-11.46092832,-2.052283571,0.681170851,0.476560992,0.947424217
SMD_OUT,10/1/18,0.945440717,-1.22644836,3.12702294,-8.325698935,-12.66727447,-4.199119832,0.658587219,0.471720727,0.875273188
SMD_OUT,10/2/18,-0.520789185,-2.783436817,1.476383228,-5.968799713,-10.30748601,-1.270231982,0.664186663,0.468708747,0.902526243
