Sample,Site,Location,Date,Time,CArea.km2,Cond.uScm,Sp_Cond.uScm,Temp.C,DO.mgL,DO.pct,TSS.mgL,Chl.mgL,PO4.ugL,NH4.ugL,Cl.mgL,NO3.mgL,SO4.mgL,Br.mgL,DOC.mgL,TDN.mgL,DON.mgL,TDP.mgL,Q_est.m3s
MR,ID,UP_2,6/18/15,12:00,48.3,351.8,396,19.3,5.77,62.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166638355
ID,ID,OUT,6/18/15,12:15,387.5,413.1,449.1,20.9,8.99,100.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.491278579
ID_UP,ID,UP_1,6/18/15,12:45,337.8,413.9,454.6,20.4,3.8,97.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.300010075
SMD_UP,SMD,UP,6/18/15,14:30,111.9,529,576,20.7,6.94,77.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357418212
SMD_OUT,SMD,OUT,6/18/15,15:30,113.8,525,571,20.7,8.63,96.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363486975
PD,PD,OUT,6/18/15,16:10,63.9,276,293,21.3,8.02,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328035446
WB,PD,UP_2,6/18/15,16:20,6,561,654,18.2,9.65,102.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03080145
PD_Larkin,PD,NA,6/18/15,16:30,NA,224.7,243,21,8.84,99.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289533633
PD_UP,PD,UP_1,6/18/15,16:45,55.7,214.4,231.7,21.2,9.06,102.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283168
MR,ID,UP_2,6/26/15,10:00,48.3,363,386.6,20.5,2.88,31.9,2.166666667,NA,15.365,16.0802002,61.5013,0.0426,0.6169,0.0126,6.012833971,0.355386738,0.296706538,NA,0.321915004
ID,ID,OUT,6/26/15,10:25,387.5,392.8,415.1,20.8,6.83,76.1,1.75,0.001439,15.865,16.16760063,96.2436,0.0531,1.0819,0.0409,8.76299759,0.466999565,0.397731964,NA,2.880879073
ID_UP,ID,UP_1,6/26/15,10:55,337.8,393.6,420,21.7,7.34,83.4,2.5,NA,13.631,12.49279976,97.6501,0.0388,1.014,0.0515,8.260883515,0.413194005,0.361901205,NA,2.511383099
SMD_OUT,SMD,OUT,6/26/15,11:40,113.8,458.8,485.9,22.2,4.09,46.9,1.833333333,0.003357667,17.784,44.33190155,122.7216,0.0915,1.2674,0.0526,12.23079457,0.626632876,0.490800974,NA,1.314145219
SMD_UP,SMD,UP,6/26/15,12:15,111.9,464.8,493,22.2,5.13,58.8,3,NA,14.824,33.62129974,125.3203,0.0673,1.2824,0.0564,11.7722429,0.587050774,0.486129474,NA,1.292204306
PD,PD,OUT,6/26/15,13:40,63.9,288.2,298.2,23.1,5.8,67.9,2.714285714,0.003357667,8.248,54.33679962,60.2365,0.1111,1.0723,0.0345,8.017851132,0.503971858,0.338535058,NA,0.393642535
PD_Larkin,PD,NA,6/26/15,13:50,NA,228.6,239.9,22.5,7.03,81,3.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34744036
WB,PD,UP_2,6/26/15,13:50,6,570,661,18.5,7.21,76.5,2.333333333,NA,4.238,51.75159836,174.1384,1.3851,3.6353,0.038,4.114430073,1.545720574,0.108868975,NA,0.03696174
PD_UP,PD,UP_1,6/26/15,14:10,55.7,224.1,234.5,22.6,8.71,100.7,2.833333333,NA,20.201,34.46820068,44.2847,0.0774,0.9917,0.0288,6.668562854,0.441988897,0.330120696,NA,0.3398016
MR,ID,UP_2,7/10/15,10:35,48.3,335,365,20.8,1.99,22.3,3.6,NA,10.198,2.329099894,81.3346,0.0291,0.6398,0.0448,7.720938928,0.382963719,0.351534619,NA,0.306766062
ID,ID,OUT,7/10/15,10:55,387.5,401,418,22.8,4.58,52.7,2.142857143,0.00107925,13.134,20.28980064,92.4679,0.0584,0.8415,0.0445,10.9468499,0.568782112,0.490092311,NA,2.745308293
ID_UP,ID,UP_1,7/10/15,11:15,337.8,407,428,22.5,5.71,65.8,2.857142857,NA,7.522,23.72100067,94.1895,0.0578,0.6065,0.0519,11.41686536,0.623588099,0.542067098,NA,2.393200365
SMD_OUT,SMD,OUT,7/10/15,12:15,113.8,512,535,22.8,3.27,38.3,4,0.0040292,10.586,39.76490021,129.1714,0.127,1.0534,0.061,11.27012883,0.664910073,0.498145173,NA,1.06250039
SMD_UP,SMD,UP,7/10/15,12:40,111.9,508,532,22.6,9.7,103,5.714285714,,9.086,42.81750107,127.873,0.1489,1.124,0.0622,10.96519197,0.640986825,0.449269323,NA,1.044760928
PD,PD,OUT,7/10/15,13:55,63.9,270,286,22.1,4.14,47.6,0.571428571,0.001644571,7.902,32.42860031,55.5384,0.0881,1.0071,0.0373,7.631521353,0.494837527,0.374308926,NA,0.557660258
WB,PD,UP_2,7/10/15,14:05,6,452,503,19.7,6.86,75.7,0.166666667,NA,9.904,26.28380013,124.8714,0.7178,2.7252,0.0249,6.630732341,1.045072235,0.300988434,NA,0.052362466
PD_Larkin,PD,NA,7/10/15,14:15,NA,225,233,23.2,6.26,74.3,2.428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.492207176
PD_UP,PD,UP_1,7/10/15,14:20,55.7,220,227,23.3,7.85,93,3.166666667,NA,8.269,18.90780067,40.2251,0.0626,0.8169,0.0109,8.135928186,0.443467788,0.361959988,NA,0.4813856
PD,PD,OUT,7/24/15,9:50,63.9,293,299.2,23.8,4.7,55.4,2.25,0.007674667,6.368,40.70660019,66.0849,0.1154,0.9808,0.0688,7.80906985,0.49853426,0.34242766,NA,0.170578432
WB,PD,UP_2,7/24/15,10:05,6,582,686,17.1,6.81,70.2,2.25,NA,7.056,30.43950081,154.847,1.5459,3.8106,0.1027,2.800948557,1.570437852,0.002990649,NA,0.016016754
PD_Larkin,PD,NA,7/24/15,10:15,NA,244.5,257.2,22.4,7.34,84.3,2.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150557489
PD_UP,PD,UP_1,7/24/15,10:25,55.7,237.5,251.5,22.1,7.55,86.5,3.75,NA,8.57,61.97639847,45.1129,0.1158,0.6315,0.0576,8.073895443,0.543199004,0.365422605,NA,0.14724736
MR,ID,UP_2,7/24/15,11:00,48.3,742,793,21.8,0.8,9.2,19.06976744,NA,5.52,13.76749992,98.5644,0.0142,0.3472,0.0937,7.415197886,0.35371742,0.32574992,NA,0.106042589
ID,ID,OUT,7/24/15,11:15,387.5,463,469,24.3,5.35,64,2.125,0.004111429,8.616,17.18720055,110.7525,0.0736,0.8625,0.0777,8.913257919,0.497675323,0.406888123,NA,0.948995459
ID_UP,ID,UP_1,7/24/15,11:40,337.8,463,475,23.7,6.63,78.5,1.5,NA,8.89,17.81800079,112.1407,0.0922,0.9295,0.0919,9.045670715,0.486938606,0.376920605,NA,0.827279139
SMD_UP,SMD,UP,7/24/15,12:25,111.9,625,643,23.5,3.94,46.5,1.875,NA,7.813,22.47699928,168.0769,0.3921,1.6674,0.0975,8.50255382,0.704679229,0.29010223,NA,0.140217914
SMD_OUT,SMD,OUT,7/24/15,12:45,113.8,612,623,24.1,4.74,56.7,2.125,0.005756,7.857,13.60429955,162.9087,0.2369,1.5156,0.0993,8.545195229,0.581851185,0.331346886,NA,0.142598737
MR,ID,UP_2,8/7/15,10:00,48.3,556,601,20.7,0.8,9,4.885496183,NA,13.242577,15.3022,107.9494,0.0147,0.5893,0.0491,7.056164,0.430919,0.400916,32.78,0.049234059
ID,ID,OUT,8/7/15,10:15,387.5,510,520,24,5.7,68.1,2.25,NA,9.841612,14.7748,120.0637,0.0647,1.4539,0.0332,7.63625,0.469471,0.389997,46.09,0.40671234
ID_UP,ID,UP_1,8/7/15,10:40,337.8,506,533,22.4,6.78,78,1.614906832,NA,10.87016,15.5836,127.9258,0.0989,1.87,0.0405,7.549652,0.52383,0.409347,117.4,0.354548202
SMD_DOWN,SMD,DOWN,8/7/15,11:30,NA,662,533,22.4,8.13,95.3,NA,NA,15.145,21.185101,182.5356,0.131,1.907,0.1387,10.035047,0.577519,0.425334,65.78,NA
SMD_OUT,SMD,OUT,8/7/15,11:45,113.8,649,676,22.5,4.14,48.2,2.75,NA,11.324,12.7609,180.9222,0.1003,1.9136,0.2399,10.246666,0.551883,0.438822,47.72,0.120230307
SMD_UP,SMD,UP,8/7/15,12:15,111.9,630,668,22.3,3.53,40.6,2.125,NA,23.092,19.5734,176.4637,0.3132,2.431,0.2603,9.681939,0.701653,0.368879,102.73,0.118222947
PD_UP,PD,UP_1,8/7/15,12:55,55.7,270.1,286,22,6.92,79.1,2.875,NA,12.186817,37.127998,53.0511,0.2406,0.742,0.036,8.356762,0.71824,0.440512,17.44,0.026878372
WB,PD,UP_2,8/7/15,13:10,6,561,659,16.2,9.17,93.3,2.375,NA,11.128573,24.2514,165.5882,2.0051,4.7932,0.0948,2.524161,2.081654,0.052303,29.39,0.002895336
PD_Larkin,PD,NA,8/7/15,13:20,NA,283.9,295.4,22,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027216162
PD,PD,OUT,8/7/15,13:30,63.9,387.7,398.1,23.5,3.01,35.1,3.75,NA,7.410419,22.226601,87.2588,0.0644,1.2564,0.0798,7.014522,0.42405,0.337423,85.58,0.030835332
SMD_SIDE,SMD,SIDE,8/26/15,12:15,NA,692,683,25.7,1.87,22.6,NA,NA,14.588,13.8919,129.209,0.0162,2.463,0.0908,7.301229,0.428964,0.398872,23.44,NA
SMD_OUT,SMD,OUT,8/26/15,12:30,113.8,602,606,25.2,5.97,72.7,2.75,NA,10.432,4.867004,167.6596,0.0937,3.648,0.2888,8.268277,0.51995,0.421383,15.99,0.223684293
SMD_DOWN,SMD,DOWN,8/26/15,12:45,NA,640,636,25.4,8.22,100.2,2.875,NA,11.047,13.6883,167.1597,0.1077,3.672,0.3727,8.044355,0.485769,0.36438,30.2,0.2265344
SMD_UP,SMD,UP,8/26/15,13:15,111.9,670,678,24.6,5.19,62.3,4.223602484,NA,12.124,10.0134,178.9598,0.1631,4.2069,0.1801,8.110794,0.525797,0.352684,21.46,0.219949669
ID_UP,ID,UP_1,8/26/15,14:05,337.8,486.3,489.9,24.7,7.95,95.8,0.99378882,NA,7.844577,14.2514,114.8986,0.1199,2.3371,0.0284,7.001595,0.515467,0.381316,7.35,0.531822303
ID,ID,OUT,8/26/15,14:30,387.5,485.5,491.6,24,6.02,71.5,2,NA,7.814546,13.4426,115.626,0.0933,2.1379,0.02,6.690793,0.502923,0.39618,118.43,0.643961205
MR,ID,UP_2,8/26/15,14:45,48.3,463.8,469.8,24.3,1.7,20.3,6,NA,15.018136,23.4785,113.888,0.0157,0.6606,0.049,7.451192,0.424228,0.38505,50.46,0.068170236
PD,PD,OUT,8/26/15,15:15,63.9,354.6,365.4,23.5,3.19,37.3,3,NA,7.206125,17.199699,74.258,0.1343,1.5212,0.039,7.922329,0.570565,0.419066,40.63,0.022634446
WB,PD,UP_2,8/26/15,15:30,6,633,675,21.5,8.05,91.2,2,NA,7.410419,30.925301,170.8148,1.7438,4.4423,0.0638,3.605985,1.901783,0.127058,70.53,0.0021253
PD_Larkin,PD,NA,8/26/15,15:40,NA,288.7,291.3,24.2,6.34,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019977821
PD_UP,PD,UP_1,8/26/15,15:50,55.7,290.6,294.6,24.4,6.76,80.8,2.625,NA,7.888467,45.742401,53.8462,0.1972,0.6883,0.0269,8.142588,0.662003,0.419061,0.77,0.019729869
CCBP_SIDE,CCBP,SIDE,9/16/15,11:40,3.99,407.1,455.7,19.3,3.86,41.6,NA,NA,10.689976,49.675301,137.0033,0.0148,0.5432,0.0288,10.738346,0.58697,0.522495,56.63,NA
CCBP_OUT,CCBP,OUT,9/16/15,11:50,3.99,545,479,18.8,3.91,41.9,NA,NA,8.786787,62.6777,149.9093,0.0197,0.6122,0.0348,11.987488,0.687743,0.605365,10.6,NA
PD,PD,OUT,9/16/15,12:15,63.9,408.2,448.2,20.1,3.36,37,2.8,NA,5.637145,17.752399,100.0512,0.0302,1.6811,0.0365,6.280731,0.381207,0.333255,84.75,0.009184992
WB,PD,UP_2,9/16/15,12:30,6,536,639,17.2,9.35,97.2,9.125,NA,7.071291,36.834099,153.9217,2.332,5.1063,0.0374,2.045919,2.373822,0.004012,22.7,0.000862441
PD_UP,PD,UP_1,9/16/15,12:45,55.7,350.5,317,19.8,5.99,65.7,4.142857143,NA,9.387987,19.459999,70.8708,0.4057,1.1271,0.0423,6.855108,0.751724,0.326564,41.29,0.008006324
SMD_UP,SMD,UP,9/16/15,13:15,111.9,670,751,19.4,3.81,41.5,2.375,NA,8.956,20.957001,195.5365,0.0351,2.4493,0.2202,8.551256,0.447989,0.391932,45.27,NA
SMD_OUT,SMD,OUT,9/16/15,13:30,113.8,668,715,21.6,7.34,83.5,2.133333333,NA,9.387,4.4201,194.7333,0.0057,2.6785,0.0607,8.8896,0.427165,0.417045,19.14,NA
ID_UP,ID,UP_1,9/16/15,14:40,337.8,466,492,22.3,8.32,95.8,6.25,NA,8.753002,17.953899,116.3969,0.1574,2.4531,0.0358,5.369288,0.463199,0.287845,5.61,0.109319029
ID,ID,OUT,9/16/15,15:00,387.5,543,542,25.1,7.28,88.1,3.376623377,NA,8.036022,38.115398,131.1314,0.0655,2.2634,0.0453,6.840263,0.798133,0.694517,26.05,0.125402971
MR,ID,UP_2,9/16/15,15:15,48.3,443.9,509,18.3,2.14,22.8,4.714285714,NA,10.374655,10.2675,124.86,0.0148,1.1312,0.0337,7.62676,0.411475,0.386407,46.74,0.014012771
SMD_SIDE,SMD,SIDE,10/2/15,10:45,NA,401.4,485.8,16.1,2.16,22,NA,NA,13.047,26.0791,100.499,0.3094,8.1053,0.2621,7.857343,0.656677,0.321198,47.2,NA
SMD_OUT,SMD,OUT,10/2/15,12:00,113.8,379.6,458.2,16.1,4.7,47.7,2.714285714,NA,19.897,20.071301,104.8576,0.1882,9.4718,0.1558,9.378045,0.599558,0.391286,5.25,NA
SMD_DOWN,SMD,DOWN,10/2/15,12:30,NA,380.9,460.4,16,8.68,87.9,NA,NA,23.489,25.129801,106.3059,0.1814,9.5351,0.0839,9.426028,0.575271,0.368741,47.78,NA
SMD_UP,SMD,UP,10/2/15,13:00,111.9,398.1,485.5,15.6,5.08,51,3.75,NA,24.791,24.2197,117.9264,0.0993,10.1431,0.1805,9.825889,0.532544,0.409024,39.6,NA
ID_UP,ID,UP_1,10/2/15,13:50,337.8,300.8,365.2,15.8,8.67,87.5,2.375,NA,12.341659,10.3217,76.4231,0.0764,5.9928,0.0136,8.321914,0.477416,0.390695,34.72,1.802286695
ID,ID,OUT,10/2/15,14:10,387.5,348.7,425,15.6,7.47,75,2.75,NA,11.121666,14.7227,88.795,0.0669,3.6387,0.0131,7.019389,0.445637,0.364015,37.52,2.101347089
MR,ID,UP_2,10/2/15,14:25,48.3,297,374.3,14.2,4.19,40.8,3.2,NA,15.093213,6.7548,86.7744,0.0188,3.338,0.0162,9.058587,0.454,0.428445,38.08,0.234808591
CCBP_OUT,CCBP,OUT,10/2/15,15:15,3.99,292.6,361.6,15,5.71,56.6,NA,NA,7.878361,13.0528,94.723,0.0158,1.4456,0.0132,10.173681,0.489124,0.460271,86.77,NA
CCBP_SIDE,CCBP,SIDE,10/2/15,15:30,3.99,221,278.1,14.3,6.19,60.4,NA,NA,8.219959,14.8436,63.6211,0.0126,2.7501,0.02,9.011137,0.406959,0.379515,1.43,NA
CCBP_UP_3,CCBP,UP_3,10/2/15,15:45,0.00007,532,700,12.6,7.62,71.7,NA,NA,12.837164,32.882801,198.5509,0.2877,2.463,0.0375,8.136856,0.758827,0.438244,36.58,NA
CCBP_UP_2,CCBP,UP_2,10/2/15,15:55,0.062768,651,831,13.7,1.88,18.2,NA,NA,17.375538,428.263306,239.2983,0.0228,5.8518,0.0304,10.568709,0.959954,0.508891,23.15,NA
CCBP_UP_1,CCBP,UP_1,10/2/15,16:05,0.000186,209.3,259.7,14.8,6.13,60.5,NA,NA,8.156144,91.472099,45.1589,0.0256,10.5424,0.043,8.278022,0.526339,0.409267,45.87,NA
CC,CCBP,DOWN,10/2/15,16:25,4.63,255.6,332.5,13,8.1,76.9,NA,NA,11.024067,20.0888,77.5636,0.0419,2.1536,0.0205,8.027719,0.427741,0.365752,75.76,NA
CCBP_OUT,CCBP,OUT,10/14/15,10:45,3.99,226.9,295.7,12.9,6.18,58.6,NA,NA,9.556321,31.692301,63.1034,0.0118,5.0134,0.0261,8.547305,0.425525,0.382032,30.16,NA
CCBP_SIDE,CCBP,SIDE,10/14/15,11:15,3.99,244.5,318.2,13,5.44,51.8,NA,NA,7.439164,15.9901,66.2739,0.0119,5.2196,0.0272,9.052656,0.409677,0.381787,33.97,NA
CCBP_UP_3,CCBP,UP_3,10/14/15,11:30,0.00007,566,723,13.7,7.75,74.7,NA,NA,10.427208,38.375999,219.9568,0.072,0.4082,0.0179,9.8178,0.566481,0.456105,10.42,NA
CCBP_UP_2,CCBP,UP_2,10/14/15,11:45,0.062768,827,1050,14,3.22,31.3,NA,NA,11.365665,78.507103,329.8763,0.0117,0.6781,0.0376,10.085897,0.558954,0.468747,11.16,NA
CCBP_UP_1,CCBP,UP_1,10/14/15,12:00,0.000186,180.4,216.7,16.5,6.55,67.4,NA,NA,9.586352,49.802299,59.9793,0.0116,5.9409,0.0029,6.791625,0.426194,0.364791,25.07,NA
CC,CCBP,DOWN,10/14/15,12:15,4.63,196.6,225.1,13.2,6.53,62.4,NA,NA,12.270336,3.196,45.3693,0.0278,3.304,0.0232,5.999197,0.306395,0.275399,64.66,NA
SMD_SIDE,SMD,SIDE,10/14/15,13:15,NA,499,615,15.2,4.99,50.8,NA,NA,10.984,13.8823,159.1225,0.0222,7.8441,0.1338,9.049544,0.395457,0.359375,18.64,NA
SMD_OUT,SMD,OUT,10/14/15,14:45,113.8,481,611,14,6.09,59.1,1.985815603,NA,8.864,8.5929,158.4996,0.1073,8.2627,0.2317,8.626307,0.477223,0.36133,17.23,NA
SMD_DOWN,SMD,DOWN,10/14/15,15:00,NA,487,615,14.1,9.2,89.7,NA,NA,9.663,9.0765,158.2413,0.1072,8.1752,0.1216,8.70997,0.475424,0.359148,23.45,NA
SMD_UP,SMD,UP,10/14/15,15:15,111.9,498,625,14.5,5.6,54.9,1.714285714,NA,12.891,10.5727,138.0807,0.1217,6.6521,0.1158,7.365207,0.469577,0.337305,54.98,NA
ID_UP,ID,UP_1,10/14/15,16:10,337.8,386,486.3,14.3,8.91,87,1.142857143,NA,8.28002,9.688,113.5192,0.0429,6.5242,0.0234,7.818935,0.427406,0.374818,5.81,0.59091367
ID,ID,OUT,10/14/15,16:30,387.5,371.2,466.6,14.3,7.98,77.9,1.714285714,NA,8.96697,19.177799,109.2547,0.0395,5.6718,0.0237,7.64574,0.410471,0.351794,3.1,0.6778539
MR,ID,UP_2,10/14/15,16:45,48.3,346.4,434.8,14.3,5.61,55,2,NA,9.837858,11.5997,108.196,0.0117,2.2789,0.0311,8.059748,0.398596,0.375296,13.27,0.075744707
CCBP_OUT,CCBP,OUT,10/28/15,10:00,3.99,260.4,402.5,6.7,6.54,53.4,NA,NA,11.553356,128.565704,95.0498,0.0177,3.5797,0.0136,7.822494,0.530939,0.384673,24.91,NA
CCBP_SIDE,CCBP,SIDE,10/28/15,10:15,3.99,283.4,450,5.4,5.01,39.6,NA,NA,15.58121,3.935799,109.197,0.0127,2.4349,0.0322,9.594781,0.456927,0.440291,19,NA
CCBP_UP_3,CCBP,UP_3,10/28/15,10:30,0.00007,466,718,6.8,2.55,20.8,NA,NA,11.084128,24.216499,210.6029,0.048,0.5773,0.0345,7.676583,0.444801,0.372584,99.6,NA
CCBP_UP_2,CCBP,UP_2,10/28/15,10:45,0.062768,751,1138,7.3,1.26,10.5,NA,NA,9.556321,8.1265,336.7383,0.0114,0.2271,0.0529,23.719698,0.4586,0.439073,131.52,NA
CCBP_UP_1,CCBP,UP_1,10/28/15,10:55,0.000186,178.6,266.1,8,7.35,62.1,NA,NA,8.156144,172.676605,59.7126,0.0148,3.8434,0.0253,5.826002,0.487452,0.299975,16.88,NA
CC,CCBP,DOWN,10/28/15,11:15,4.63,179.4,285.1,5.3,6.1,48.1,NA,NA,14.331186,10.3738,50.8596,0.0119,2.5699,0.0506,6.751292,0.234516,0.212243,64.22,NA
SMD_SIDE,SMD,SIDE,10/28/15,12:15,NA,514,695,10.5,4.38,38.7,NA,NA,20.078,6.1914,166.5183,0.0068,6.2682,0.0547,9.744687,0.368157,0.355165,46.16,NA
SMD_OUT,SMD,OUT,10/28/15,12:35,113.8,453.1,666,8.4,4.64,39.6,1.714285714,NA,11.937,3.7971,168.2653,0.0335,7.115,0.3483,7.453791,0.389745,0.352448,20.63,NA
SMD_DOWN,SMD,DOWN,10/28/15,12:50,NA,460,663,9,9.16,79.2,NA,NA,10.369,9.064,171.1267,0.048,7.1473,0.0981,7.945928,0.390195,0.333131,15.03,NA
SMD_UP,SMD,UP,10/28/15,13:15,111.9,462,685,8.2,4.95,42.1,2,NA,9.508,15.8348,176.328,0.1,7.0907,0.218,7.181886,0.429909,0.314074,49.29,NA
ID_UP,ID,UP_1,10/28/15,14:10,337.8,303,456.2,7.5,8.09,67.4,0.714285714,NA,9.837858,8.0557,102.1176,0.0545,5.3399,0.0311,8.126179,0.412269,0.349714,32.51,0.159546691
ID,ID,OUT,10/28/15,14:40,387.5,336.1,473.6,9.9,7.06,62.3,1.571428571,NA,10.05558,8.581,111.8083,0.0451,4.6893,0.0264,7.4073,0.431044,0.377363,59.26,0.183020553
MR,ID,UP_2,10/28/15,14:55,48.3,306.7,458.8,7.6,7.81,65.3,1.285714286,NA,9.931703,8.6873,114.8429,0.0118,1.8072,0.0332,6.347961,0.383334,0.362847,10.82,0.019693624
CCBP_OUT,CCBP,OUT,11/18/15,10:15,3.99,313.4,522,4.1,7,53.5,NA,NA,22.293049,177.608994,143.1668,0.0288,1.5636,0.0319,7.720475,0.543065,0.336656,29.05,NA
CCBP_SIDE,CCBP,SIDE,11/18/15,10:30,3.99,338.8,562,5.2,5.19,39.9,NA,NA,10.90019,138.022095,154.6768,0.0122,1.5383,0.0366,7.993317,0.545992,0.39577,18.61,NA
CCBP_UP_3,CCBP,UP_3,11/18/15,10:45,0.00007,396.6,734.4,2,9.18,66.3,NA,NA,7.938422,49.5751,202.103,0.0676,0.4582,0.0313,7.607779,0.484107,0.366931,50.3,NA
CCBP_UP_2,CCBP,UP_2,11/18/15,11:00,0.062768,634,1067,4,2.53,19.4,NA,NA,8.186175,25.867599,348.1468,0.0121,0.7693,0.0092,7.769112,0.415113,0.377145,31.56,NA
CCBP_UP_1,CCBP,UP_1,11/18/15,11:10,0.000186,158.5,257.7,4.8,10.16,79.4,NA,NA,13.831928,63.768002,55.7479,0.0159,3.7337,0.0379,4.821217,0.33567,0.256002,19.27,NA
CC,CCBP,DOWN,11/18/15,11:25,4.63,159.1,282.5,2.3,10.14,74.1,NA,NA,9.52629,16.0235,97.7455,0.0353,1.8733,0.0298,4.661615,0.275548,0.224224,92.27,NA
SMD_SIDE,SMD,SIDE,11/18/15,12:25,NA,442.6,649,9.5,4.74,41.5,NA,NA,20.913,11.3601,165.6839,0.0455,3.7016,0.1419,9.316528,0.459233,0.402373,110.25,NA
SMD_OUT,SMD,OUT,11/18/15,12:35,113.8,383.7,627,4.8,8.84,68.8,1.166666667,NA,12.552,15.322,163.1329,0.0805,3.7136,0.1729,9.929238,0.488467,0.392645,37.02,3.271382779
SMD_DOWN,SMD,DOWN,11/18/15,12:55,NA,380.7,615,5.2,11.18,88.2,1.428571429,NA,14.892,14.8706,164.5645,0.0737,3.7199,0.2134,9.859109,0.517252,0.428681,47.06,3.3130656
SMD_UP,SMD,UP,11/18/15,13:15,111.9,384.6,631,4.5,9.1,70.3,1.428571429,NA,16.588,35.410999,166.6098,0.1175,3.9551,0.1481,9.563827,0.51995,0.367039,24.2,3.21676391
ID_UP,ID,UP_1,11/18/15,14:05,337.8,317.7,516,5,11.59,90.8,0.714285714,NA,9.931703,9.9026,114.712,0.0294,4.8038,0.0252,6.623239,0.347963,0.30866,11.77,1.034098923
ID,ID,OUT,11/18/15,14:40,387.5,307.6,489,5.7,10.75,85.7,1.142857143,NA,9.462475,7.7262,115.4419,0.0316,4.4276,0.0391,6.840569,0.376358,0.337032,76.97,1.152351629
MR,ID,UP_2,11/18/15,14:55,48.3,255.4,419.7,4.6,9.89,76.6,0.714285714,NA,11.271819,9.8652,102.9252,0.0177,2.2223,0.0239,6.264419,0.323637,0.296072,82.93,0.128766001
CCBP_OUT,CCBP,OUT,3/9/16,9:30,3.99,321,518,5.2,8.28,65.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_SIDE,CCBP,SIDE,3/9/16,9:45,3.99,269.5,436.9,5.2,7.14,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_3,CCBP,UP_3,3/9/16,10:05,0.00007,419.3,630,7.6,7.56,63.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_2,CCBP,UP_2,3/9/16,10:15,0.062768,832,1266,7.1,8.68,71.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_1,CCBP,UP_1,3/9/16,10:20,0.000186,166.9,254.3,6.7,9.24,75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,CCBP,DOWN,3/9/16,10:45,4.63,254.5,390.3,7,10,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD,PD,OUT,3/9/16,11:05,63.9,159.9,253.9,5.6,10.75,85.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WB,PD,UP_2,3/9/16,11:20,6,378.5,547,8.9,10.98,94.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD_UP,PD,UP_1,3/9/16,11:30,55.7,135,210.5,6.3,11.3,91.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_SIDE,SMD,SIDE,3/9/16,12:30,NA,341.3,467,12,9.57,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT,SMD,OUT,3/9/16,12:45,113.8,348.2,537,6.7,10.42,85.2,NA,NA,NA,NA,143.56,0.35,5.01,0.2,6.078987063,0.568207116,NA,NA,NA
SMD_Below_Dam,SMD,OUT,3/9/16,13:00,NA,348,534,6.8,10.9,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_DOWN,SMD,DOWN,3/9/16,13:20,NA,348,534,6.8,10.96,89.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP,SMD,UP,3/9/16,13:45,111.9,366,539,8.3,10.85,92.3,NA,NA,NA,NA,145.49,0.32,4.85,NA,6.119462881,0.543775764,NA,NA,NA
ID_UP,ID,UP_1,3/9/16,14:35,337.8,278,421.5,7.3,11.42,94.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,ID,OUT,3/9/16,15:00,387.5,277.2,418.5,7.4,11.27,93.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
