"","Date","Discharge.m3s","Site"
"243",2015-08-31,0.00050758339912724,"CCBP"
"244",2015-09-01,0.00047595099740842,"CCBP"
"245",2015-09-02,0.000408798760362609,"CCBP"
"246",2015-09-03,0.000396557247819799,"CCBP"
"247",2015-09-04,0.000400028234377208,"CCBP"
"248",2015-09-05,0.000385291749725424,"CCBP"
"249",2015-09-06,0.000292449544836277,"CCBP"
"250",2015-09-07,0.000301095653803759,"CCBP"
"251",2015-09-08,0.000313820629925458,"CCBP"
"252",2015-09-09,0.000291652229180418,"CCBP"
"253",2015-09-10,0.000245061528676662,"CCBP"
"254",2015-09-11,0.000284354005594064,"CCBP"
"255",2015-09-12,0.000234195665249152,"CCBP"
"256",2015-09-13,0.000269766717406612,"CCBP"
"257",2015-09-14,0.000318088743940398,"CCBP"
"258",2015-09-15,0.000260008535561966,"CCBP"
"259",2015-09-16,0.000225963547792353,"CCBP"
"260",2015-09-17,0.000222010119304117,"CCBP"
"261",2015-09-18,0.000208851184725403,"CCBP"
"262",2015-09-19,0.000184464266252199,"CCBP"
"263",2015-09-20,0.000161277775289861,"CCBP"
"264",2015-09-21,0.00015257925756917,"CCBP"
"265",2015-09-22,0.00016637075361103,"CCBP"
"266",2015-09-23,0.000163887646958494,"CCBP"
"267",2015-09-24,0.000153143709161525,"CCBP"
"268",2015-09-25,0.000152693180289893,"CCBP"
"269",2015-09-26,0.000140538059741086,"CCBP"
"270",2015-09-27,0.000124921075772827,"CCBP"
"271",2015-09-28,0.000104466794353618,"CCBP"
"272",2015-09-29,9.95299847967117e-05,"CCBP"
"273",2015-09-30,0.003514348832113,"CCBP"
"274",2015-10-01,0.00215592912131547,"CCBP"
"275",2015-10-02,0.00132410929169199,"CCBP"
"276",2015-10-03,0.00098863518956832,"CCBP"
"277",2015-10-04,0.000832336174138678,"CCBP"
"278",2015-10-05,0.000842319396373512,"CCBP"
"279",2015-10-06,0.000789325050627117,"CCBP"
"280",2015-10-07,0.000696125376458219,"CCBP"
"281",2015-10-08,0.000569526154125528,"CCBP"
"282",2015-10-09,0.000585360157650508,"CCBP"
"283",2015-10-10,0.000593738281161903,"CCBP"
"284",2015-10-11,0.000553850138615309,"CCBP"
"285",2015-10-12,0.000505069123246992,"CCBP"
"286",2015-10-13,0.000613484820367168,"CCBP"
"287",2015-10-14,0.000579060362037174,"CCBP"
"288",2015-10-15,0.00056661362369948,"CCBP"
"289",2015-10-16,0.000547892604064524,"CCBP"
"290",2015-10-17,0.000541914779941704,"CCBP"
"291",2015-10-18,0.000573795137437504,"CCBP"
"292",2015-10-19,0.000582368332995939,"CCBP"
"293",2015-10-20,0.000474724876344981,"CCBP"
"294",2015-10-21,0.000464584544354247,"CCBP"
"295",2015-10-22,0.000653896629240068,"CCBP"
"296",2015-10-23,0.000772259817798389,"CCBP"
"297",2015-10-24,0.000765548764031029,"CCBP"
"298",2015-10-25,0.000722125405526506,"CCBP"
