Date,Time,Discharge.cfs,DIN_UP_kg.day,DON_UP_kg.day,PN_UP_kg.day,DIN_OUT_kg.day,DON_OUT_kg.day,PN_OUT_kg.day,DIN_OUT_Scen_kg.day,DON_OUT_Scen_kg.day,PN_OUT_Scen_kg.day
20150910,1200,0.60,0.14,0.53,0.15,0.05,0.58,0.15,0.06,0.58,0.17
20150911,1200,1.50,0.45,1.34,0.34,0.18,1.46,0.34,0.22,1.47,0.39
20150912,1200,1.40,0.41,1.25,0.32,0.16,1.37,0.32,0.20,1.37,0.37
20150913,1200,1.50,0.45,1.34,0.34,0.18,1.46,0.34,0.22,1.47,0.39
20150914,1200,1.60,0.49,1.44,0.36,0.19,1.56,0.37,0.24,1.57,0.42
20150915,1200,1.60,0.49,1.44,0.36,0.19,1.56,0.37,0.24,1.57,0.42
20150916,1200,2.00,0.65,1.80,0.44,0.27,1.96,0.45,0.32,1.96,0.51
20150917,1200,2.00,0.65,1.80,0.44,0.27,1.96,0.45,0.32,1.96,0.51
20150918,1200,2.10,0.69,1.90,0.46,0.29,2.06,0.47,0.34,2.06,0.53
20150919,1200,4.10,1.57,3.76,0.85,0.76,4.06,0.85,0.84,4.04,0.95
20150920,1200,5.90,2.46,5.46,1.18,1.29,5.88,1.18,1.36,5.83,1.32
20150921,1200,3.20,1.16,2.92,0.68,0.53,3.16,0.68,0.60,3.15,0.77
20150922,1200,1.80,0.57,1.62,0.40,0.23,1.76,0.41,0.28,1.76,0.46
20150923,1200,1.70,0.53,1.53,0.38,0.21,1.66,0.39,0.26,1.66,0.44
20150924,1200,1.70,0.53,1.53,0.38,0.21,1.66,0.39,0.26,1.66,0.44
20150925,1200,1.50,0.45,1.34,0.34,0.18,1.46,0.34,0.22,1.47,0.39
20150926,1200,1.50,0.45,1.34,0.34,0.18,1.46,0.34,0.22,1.47,0.39
20150927,1200,1.60,0.49,1.44,0.36,0.19,1.56,0.37,0.24,1.57,0.42
20150928,1200,1.60,0.49,1.44,0.36,0.19,1.56,0.37,0.24,1.57,0.42
20150929,1200,2.20,0.73,1.99,0.48,0.31,2.16,0.49,0.37,2.16,0.55
20150930,1200,9.60,4.49,8.99,1.82,2.63,9.63,1.84,2.61,9.51,2.02
20151001,1200,24.60,14.33,23.57,4.25,10.33,25.00,4.28,9.12,24.54,4.61
20151002,1200,42.00,27.67,40.75,6.86,22.43,43.00,6.93,18.55,42.04,7.37
20151003,1200,30.70,18.82,29.57,5.18,14.24,31.29,5.23,12.24,30.67,5.60
20151004,1200,27.00,16.07,25.93,4.62,11.82,27.47,4.66,10.32,26.95,5.00
20151005,1200,23.70,13.69,22.69,4.11,9.78,24.07,4.14,8.68,23.63,4.46
20151006,1200,19.70,10.90,18.78,3.48,7.48,19.96,3.51,6.79,19.62,3.80
20151007,1200,15.70,8.24,14.88,2.84,5.38,15.85,2.86,5.02,15.61,3.11
20151008,1200,11.50,5.62,10.82,2.15,3.42,11.56,2.16,3.32,11.41,2.37
20151009,1200,9.70,4.55,9.09,1.84,2.67,9.73,1.85,2.65,9.61,2.04
20151010,1200,8.60,3.92,8.04,1.65,2.24,8.61,1.66,2.25,8.52,1.83
20151011,1200,7.20,3.15,6.70,1.41,1.73,7.19,1.42,1.78,7.12,1.57
20151012,1200,5.50,2.26,5.08,1.10,1.17,5.47,1.11,1.24,5.43,1.24
20151013,1200,4.70,1.86,4.33,0.96,0.93,4.66,0.97,1.01,4.63,1.08
20151014,1200,4.10,1.57,3.76,0.85,0.76,4.06,0.85,0.84,4.04,0.95
20151015,1200,3.70,1.38,3.39,0.77,0.66,3.66,0.78,0.73,3.64,0.87
20151016,1200,3.00,1.07,2.73,0.64,0.48,2.96,0.64,0.55,2.95,0.72
20151017,1200,2.60,0.89,2.36,0.56,0.39,2.56,0.57,0.46,2.55,0.64
20151018,1200,2.00,0.65,1.80,0.44,0.27,1.96,0.45,0.32,1.96,0.51
20151019,1200,1.90,0.61,1.71,0.42,0.25,1.86,0.43,0.30,1.86,0.48
20151020,1200,2.00,0.65,1.80,0.44,0.27,1.96,0.45,0.32,1.96,0.51
20151021,1200,2.30,0.77,2.08,0.50,0.33,2.26,0.51,0.39,2.26,0.57
20151022,1200,2.30,0.77,2.08,0.50,0.33,2.26,0.51,0.39,2.26,0.57
20151023,1200,2.60,0.89,2.36,0.56,0.39,2.56,0.57,0.46,2.55,0.64
20151024,1200,2.50,0.85,2.27,0.54,0.37,2.46,0.55,0.43,2.45,0.62
20151025,1200,2.80,0.98,2.55,0.60,0.44,2.76,0.61,0.50,2.75,0.68
20151026,1200,2.20,0.73,1.99,0.48,0.31,2.16,0.49,0.37,2.16,0.55
20151027,1200,1.80,0.57,1.62,0.40,0.23,1.76,0.41,0.28,1.76,0.46
20151028,1200,4.00,1.52,3.67,0.83,0.73,3.96,0.83,0.81,3.94,0.93
20151029,1200,8.50,3.87,7.94,1.63,2.20,8.51,1.65,2.22,8.42,1.81
20151030,1200,18.30,9.96,17.41,3.26,6.72,18.52,3.28,6.16,18.22,3.56
20151031,1200,30.40,18.59,29.27,5.14,14.04,30.98,5.18,12.08,30.36,5.55
20151101,1200,38.30,24.70,37.08,6.32,19.63,39.16,6.38,16.42,38.31,6.80
20151102,1200,42.60,28.15,41.35,6.95,22.90,43.62,7.01,18.91,42.65,7.46
20151103,1200,37.40,23.99,36.19,6.18,18.96,38.23,6.24,15.91,37.41,6.66
20151104,1200,23.60,13.62,22.59,4.09,9.72,23.97,4.13,8.63,23.53,4.45
